NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:52:39	2814.33403857
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
1	0.00417	721.095	878.675	849.125	726.625	911.194	428.602	730.127	989.645	108.118
2	0.00833	722.044	878.265	849.610	726.583	911.019	428.645	730.003	989.708	108.318
3	0.01250	722.103	878.227	849.629	726.651	911.020	428.565	730.177	989.648	108.233
4	0.01667	721.208	878.723	849.134	726.610	911.044	428.511	730.236	989.686	108.325
5	0.02083	721.191	878.635	849.173	726.648	911.092	428.511	730.145	989.591	108.323
6	0.02500	721.184	878.715	849.176	726.651	911.025	428.584	730.022	989.662	108.326
7	0.02917	721.200	878.698	849.173	726.669	910.879	428.548	730.116	989.686	108.234
8	0.03333	721.197	878.706	849.148	726.613	910.886	428.498	730.212	989.646	108.318
9	0.03750	721.231	878.721	849.151	726.668	910.838	428.532	730.224	989.688	108.325
10	0.04167	721.211	878.651	849.141	726.651	910.919	428.508	730.185	989.653	108.392
11	0.04583	721.544	878.939	849.189	727.430	911.297	428.416	730.603	989.538	107.878
12	0.05000	721.555	878.962	849.175	727.496	911.260	428.353	730.616	989.530	107.879
13	0.05417	721.555	878.965	849.183	727.421	911.254	428.408	730.243	989.398	107.980
14	0.05833	721.530	878.935	849.156	726.780	910.881	428.647	730.354	989.643	108.189
15	0.06250	721.538	878.861	849.179	726.726	910.875	428.595	730.144	989.535	108.308
16	0.06667	721.570	878.899	849.208	726.772	910.881	428.615	730.258	989.559	108.288
17	0.07083	721.555	878.919	849.216	726.756	910.867	428.616	730.289	989.643	108.274
18	0.07500	721.529	878.913	849.140	726.747	910.819	428.604	730.221	989.679	108.193
19	0.07917	721.557	878.890	849.182	726.780	910.846	428.606	730.323	989.553	108.300
20	0.08333	721.626	879.007	849.144	726.758	910.815	428.580	730.274	989.566	108.314
21	0.08750	721.588	878.937	849.162	726.761	910.855	428.566	730.266	989.680	108.204
22	0.09167	721.628	878.910	849.234	726.734	910.843	428.574	730.359	989.613	108.288
23	0.09583	721.536	879.006	849.151	726.758	910.780	428.590	730.315	989.591	108.324
24	0.10000	721.634	878.954	849.144	726.746	910.704	428.565	730.311	989.640	108.243
25	0.10417	721.616	878.982	849.186	726.724	910.761	428.611	730.249	989.586	108.337
26	0.10833	721.594	878.932	849.159	726.805	910.753	428.563	730.318	989.596	108.275
27	0.11250	721.621	878.898	849.126	726.753	910.747	428.564	730.136	989.562	108.295
28	0.11667	721.623	878.933	849.132	726.797	910.716	428.560	730.297	989.581	108.222
29	0.12083	721.636	878.944	849.172	726.857	910.753	428.613	730.132	989.598	108.322
30	0.12500	721.747	878.986	849.180	726.767	910.703	428.512	730.305	989.660	108.290
31	0.12917	721.656	878.906	849.161	726.840	910.629	428.632	730.141	989.534	108.352
32	0.13333	721.650	878.914	849.112	726.744	910.655	428.551	730.317	989.628	108.272
33	0.13750	721.643	878.862	849.115	726.784	910.699	428.614	730.235	989.687	108.262
34	0.14167	721.721	878.902	849.140	726.784	910.678	428.540	730.089	989.593	108.376
35	0.14583	721.734	879.032	849.151	726.777	910.764	428.599	730.319	989.581	108.333
36	0.15000	721.719	878.932	849.113	726.779	910.719	428.568	730.315	989.569	108.294
37	0.15417	721.749	878.929	849.162	726.800	910.594	428.584	730.398	989.635	108.340
38	0.15833	721.705	878.945	849.161	726.853	910.638	428.592	730.129	989.579	108.348
39	0.16250	721.683	878.862	849.130	726.780	910.625	428.542	730.316	989.573	108.302
40	0.16667	721.727	878.859	849.165	726.804	910.668	428.571	730.134	989.496	108.398
41	0.17083	721.706	878.917	849.129	726.807	910.681	428.505	730.126	989.531	108.370
42	0.17500	721.851	878.940	849.113	726.824	910.603	428.581	730.330	989.584	108.297
43	0.17917	721.553	878.668	849.112	726.844	910.590	428.552	730.140	989.595	108.421
44	0.18333	721.831	878.932	849.184	726.810	910.628	428.521	730.095	989.557	108.251
45	0.18750	721.782	878.952	849.193	726.863	910.560	428.569	730.097	989.519	108.426
46	0.19167	721.830	878.903	849.153	726.850	910.583	428.535	730.300	989.614	108.289
47	0.19583	721.827	878.930	849.170	726.848	910.571	428.584	730.306	989.651	108.351
48	0.20000	721.839	878.924	849.165	726.893	910.551	428.509	730.359	989.465	108.424
49	0.20417	721.652	878.763	849.268	726.875	910.609	428.592	730.317	989.544	108.360
50	0.20833	721.833	878.982	849.131	726.869	910.566	428.553	730.271	989.542	108.297
51	0.21250	721.843	879.000	849.159	726.805	910.515	428.600	730.250	989.696	108.258
52	0.21667	721.872	879.067	849.108	726.903	910.508	428.534	730.276	989.559	108.329
53	0.22083	721.903	879.073	849.206	726.859	910.522	428.549	730.335	989.498	108.351
54	0.22500	721.884	879.045	849.157	726.900	910.475	428.545	730.327	989.600	108.338
55	0.22917	721.916	879.167	849.157	727.002	910.474	428.543	730.311	989.602	108.383
56	0.23333	721.924	879.195	849.160	726.896	910.583	428.480	730.257	989.578	108.322
57	0.23750	721.914	879.227	849.167	726.983	910.531	428.531	730.152	989.509	108.468
58	0.24167	721.958	879.255	849.238	726.941	910.522	428.530	730.340	989.580	108.337
59	0.24583	721.954	879.307	849.176	726.944	910.612	428.467	730.314	989.586	108.310
60	0.25000	721.935	879.240	849.222	726.982	910.516	428.502	730.249	989.623	108.304
61	0.25417	721.972	879.383	849.235	727.008	910.570	428.487	730.293	989.585	108.363
62	0.25833	721.988	879.431	849.256	726.949	910.516	428.509	730.311	989.486	108.389
63	0.26250	721.957	879.348	849.238	726.973	910.560	428.564	730.357	989.612	108.411
64	0.26667	722.005	879.455	849.342	726.960	910.623	428.516	730.417	989.522	108.430
65	0.27083	721.983	879.473	849.239	726.998	910.636	428.507	730.146	989.505	108.375
66	0.27500	721.984	879.471	849.307	726.966	910.635	428.554	730.110	989.570	108.394
67	0.27917	722.010	879.572	849.317	726.973	910.580	428.511	730.232	989.454	108.231
68	0.28333	722.023	879.738	849.348	727.009	910.675	428.616	730.131	989.572	108.425
69	0.28750	722.034	879.721	849.305	727.035	910.607	428.558	730.181	989.565	108.349
70	0.29167	722.017	879.817	849.445	727.026	910.666	428.551	730.358	989.622	108.297
71	0.29583	721.995	879.838	849.333	727.068	910.652	428.596	730.388	989.618	108.337
72	0.30000	721.975	879.881	849.354	727.031	910.781	428.574	730.299	989.569	108.354
73	0.30417	721.996	879.958	849.447	727.039	910.779	428.553	730.322	989.632	108.289
74	0.30833	722.068	880.081	849.475	727.078	910.732	428.620	730.372	989.553	108.399
75	0.31250	722.038	880.174	849.492	727.050	910.742	428.609	730.384	989.647	108.312
76	0.31667	722.031	880.153	849.497	727.118	910.823	428.611	730.417	989.642	108.338
77	0.32083	721.997	880.164	849.512	727.100	910.903	428.581	730.192	989.573	108.396
78	0.32500	722.077	880.323	849.565	727.010	910.918	428.529	730.425	989.610	108.315
79	0.32917	722.009	880.373	849.483	727.101	910.884	428.557	730.200	989.549	108.355
80	0.33333	722.033	880.614	849.556	727.073	910.930	428.569	730.393	989.648	108.287
81	0.33750	721.972	880.628	849.515	727.061	910.985	428.563	730.403	989.672	108.256
82	0.34167	722.009	880.748	849.550	727.043	911.010	428.549	730.376	989.691	108.197
83	0.34583	722.032	880.799	849.582	727.134	911.108	428.559	730.476	989.689	108.280
84	0.35000	722.005	880.936	849.645	727.102	911.132	428.484	730.481	989.628	108.324
85	0.35417	721.915	881.042	849.594	727.027	911.150	428.531	730.208	989.530	108.315
86	0.35833	721.939	881.216	849.577	727.072	911.143	428.556	730.434	989.695	108.301
87	0.36250	721.924	881.300	849.588	727.098	911.166	428.546	730.482	989.685	108.263
88	0.36667	721.945	881.498	849.652	727.011	911.210	428.553	730.187	989.604	108.255
89	0.37083	721.861	881.555	849.656	727.086	911.222	428.619	730.396	989.763	108.187
90	0.37500	721.927	881.835	849.678	727.063	911.322	428.616	730.440	989.777	108.225
91	0.37917	721.932	882.030	849.721	727.049	911.395	428.569	730.444	989.742	108.216
92	0.38333	721.819	882.241	849.732	727.076	911.484	428.611	730.535	989.723	108.190
93	0.38750	721.761	882.558	849.739	727.087	911.453	428.651	730.419	989.676	108.239
94	0.39167	721.835	882.746	849.758	727.015	911.664	428.566	730.471	989.687	108.236
95	0.39583	721.794	883.142	849.819	727.068	911.751	428.580	730.416	989.744	108.192
