NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:55:34	2988.95469344
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
1	0.00417	723.801	759.887	849.007	721.950	801.311	429.622	722.815	879.366	109.113
2	0.00833	723.912	759.831	849.033	721.853	801.189	429.593	722.903	879.360	109.263
3	0.01250	723.942	759.972	848.944	721.921	801.084	429.582	722.974	879.448	109.322
4	0.01667	723.810	759.823	849.013	721.818	800.962	429.572	722.891	879.293	109.314
5	0.02083	723.879	759.776	849.034	721.863	801.002	429.573	722.844	879.322	109.239
6	0.02500	723.860	759.832	849.017	721.872	800.967	429.528	722.906	879.301	109.280
7	0.02917	723.780	759.792	848.942	721.871	800.987	429.588	723.099	879.394	109.423
8	0.03333	723.760	759.827	848.996	721.817	800.964	429.512	722.915	879.323	109.315
9	0.03750	723.765	759.823	849.004	721.842	800.940	429.519	723.057	879.296	109.390
10	0.04167	723.840	759.790	849.008	721.831	800.920	429.515	723.048	879.453	109.366
11	0.04583	724.094	759.820	849.146	722.564	801.130	429.173	723.339	878.666	108.997
12	0.05000	724.054	759.843	849.126	722.576	801.154	429.206	723.299	878.668	109.058
13	0.05417	724.066	759.857	849.158	722.685	801.144	429.263	723.373	878.779	109.064
14	0.05833	724.097	759.846	849.154	721.994	800.902	429.609	723.286	879.086	109.565
15	0.06250	724.085	759.814	849.166	721.982	800.891	429.691	723.245	879.080	109.606
16	0.06667	724.071	759.835	849.172	721.944	800.860	429.630	723.169	878.997	109.657
17	0.07083	724.069	759.800	849.181	721.925	800.877	429.589	723.257	879.113	109.647
18	0.07500	724.019	759.840	849.170	721.864	800.879	429.557	723.390	879.166	109.674
19	0.07917	724.009	759.794	849.201	721.916	800.918	429.598	723.339	879.082	109.746
20	0.08333	724.021	759.867	849.197	721.936	800.885	429.552	723.256	879.064	109.669
21	0.08750	724.050	759.821	849.141	721.921	800.857	429.601	723.282	879.037	109.766
22	0.09167	724.026	759.821	849.149	721.918	800.828	429.594	723.352	879.110	109.648
23	0.09583	724.028	759.881	849.141	721.918	800.906	429.603	723.261	879.180	109.708
24	0.10000	724.029	759.968	849.226	721.869	800.855	429.534	723.414	879.075	109.809
25	0.10417	724.046	759.890	849.187	721.881	800.777	429.657	723.182	878.890	109.818
26	0.10833	724.040	759.884	849.199	721.918	800.820	429.658	723.297	879.040	109.838
27	0.11250	724.096	759.895	849.185	721.822	800.761	429.591	723.382	879.083	109.770
28	0.11667	724.009	759.909	849.141	721.901	800.832	429.675	723.178	879.074	109.726
29	0.12083	723.994	759.909	849.107	721.866	800.783	429.549	723.143	878.934	109.731
30	0.12500	724.077	759.937	849.164	721.854	800.799	429.548	723.191	879.086	109.722
31	0.12917	724.021	759.920	849.169	721.834	800.831	429.626	723.192	878.922	109.779
32	0.13333	724.095	759.973	849.179	721.837	800.794	429.595	723.187	879.008	109.841
33	0.13750	723.960	760.011	849.195	721.858	800.796	429.546	723.153	878.946	109.919
34	0.14167	723.967	759.999	849.188	721.816	800.788	429.635	723.191	878.909	109.838
35	0.14583	724.030	760.041	849.184	721.887	800.788	429.650	723.202	879.006	109.754
36	0.15000	724.050	760.106	849.227	721.853	800.799	429.575	723.253	879.037	109.801
37	0.15417	723.975	759.928	849.157	721.846	800.791	429.606	723.172	879.024	109.790
38	0.15833	723.930	760.015	849.194	721.841	800.778	429.588	723.234	878.948	109.821
39	0.16250	723.978	760.067	849.169	721.889	800.757	429.593	723.109	879.024	109.685
40	0.16667	723.974	760.075	849.190	721.878	800.746	429.640	723.238	879.070	109.827
41	0.17083	723.977	760.129	849.144	721.849	800.745	429.565	723.303	879.136	109.785
42	0.17500	723.952	760.122	849.203	721.802	800.735	429.555	723.293	879.052	109.875
43	0.17917	723.867	760.094	849.188	721.836	800.722	429.562	723.149	878.851	109.842
44	0.18333	723.940	760.176	849.199	721.846	800.745	429.542	723.343	879.058	109.853
45	0.18750	723.979	760.221	849.173	721.910	800.732	429.586	723.051	878.988	109.772
46	0.19167	723.955	760.211	849.239	721.828	800.745	429.607	723.332	879.051	109.845
47	0.19583	723.949	760.255	849.197	721.798	800.750	429.523	723.216	878.993	109.858
48	0.20000	723.903	760.207	849.235	721.864	800.764	429.596	723.193	878.882	109.873
49	0.20417	724.032	760.288	849.229	721.786	800.735	429.538	723.289	878.959	109.856
50	0.20833	723.953	760.300	849.279	721.824	800.799	429.518	723.261	878.988	109.907
51	0.21250	723.911	760.363	849.254	721.837	800.812	429.559	723.173	878.861	109.887
52	0.21667	723.925	760.341	849.260	721.800	800.816	429.582	723.156	878.777	109.884
53	0.22083	723.944	760.360	849.270	721.814	800.762	429.609	723.176	879.038	109.736
54	0.22500	723.899	760.372	849.218	721.852	800.764	429.595	723.094	878.887	109.758
55	0.22917	723.955	760.452	849.275	721.816	800.868	429.643	723.178	878.913	109.886
56	0.23333	723.865	760.483	849.249	721.776	800.865	429.626	723.147	878.828	109.914
57	0.23750	723.942	760.464	849.295	721.882	800.826	429.606	723.294	879.048	109.855
58	0.24167	723.900	760.430	849.269	721.817	800.880	429.697	723.159	878.812	109.922
59	0.24583	723.871	760.531	849.306	721.865	800.915	429.716	723.211	879.025	109.861
60	0.25000	723.890	760.544	849.323	721.831	800.898	429.655	723.330	879.039	109.850
61	0.25417	723.864	760.502	849.357	721.796	800.955	429.737	723.235	878.963	109.868
62	0.25833	723.813	760.568	849.297	721.831	800.987	429.699	723.151	878.808	109.891
